,domains,counts
159,"['Pkinase', 'HTH_37', 'antidote_HigA', 'mycofact_glyco', 'SDR_subfam_2', 'mycofact_creat', 'actino_HemFlav', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'NDMA_methanol', 'AAA_5', 'AAA', 'VWA_CoxE', 'fvmX3', 'Methyltransf_11', 'BioC', 'Response_reg', 'GerE', 'HisKA_3', 'HSCB_C', 'Fe-ADH']",1
160,"['Pkinase', 'TOMM_kin_cyc', 'TPR_12', 'TPR_MalT', 'AAA_25', 'Amino_oxidase', 'cNMP_binding', 'cNMP_binding', '2A0121', 'Rv0697', 'mycofact_glyco', 'mycofact_creat', 'actino_HemFlav', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'mycofact_TetR', 'DUF2332', 'Alginate_lyase2']",1
161,"['Pkinase', 'TetR_N', 'TetR_C_24', 'Beta-lactamase', 'SSI', 'UBA_4', 'TPR_MalT', 'CxxCG_CxxCG_HTH', 'TPR_8', 'HTH_31', 'Rv0697', 'mycofact_glyco', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'TetR_C_1', 'PA_CoA_Oxy5', 'DNA_alkylation', 'glut_race', 'Pyr_redox_2', 'SPW', 'TetR_N', 'mycofact_TetR']",1
162,"['Polyketide_cyc2', 'Aldo_ket_red', 'VWA_CoxE', 'AAA_5', 'chaperone_ClpB', 'CbbQ_C', 'NDMA_methanol', 'am_tr_V_VC1184', 'mycofact_TetR', 'mycofactocin', 'Mycofactocin_RRE', 'mycofact_rSAM', 'Pyrid_ox_like', 'efflux_Bcr_CflA', 'mycofact_creat', 'NTP_transf_9', 'Transp_cyt_pur', 'thia_cytX', 'Peripla_BP_2', 'Isochorismatase', 'PqqA']",1
163,"['Polyketide_cyc2', 'SmpB', 'Glyco_hydro_15', 'TREH_N', 'zwf', 'CobW_C', 'SigBFG', 'mycofact_TetR', 'mycofactocin', 'Mycofactocin_RRE', 'mycofact_rSAM', 'actino_HemFlav', 'mycofact_creat', 'SDR_subfam_2', 'mycofact_glyco', 'VWA_CoxE', 'AAA_5', 'AAA_28', 'heterocyst_DevA', 'Rxyl_3153']",1
164,"['PorB_KorB', 'Fer4', 'Fer4_2', 'Abhydrolase_1', 'Abhydrolase_6', 'FAD_binding_2', 'TetR_C_33', 'MGT', 'Acetyltransf_1', 'TetR_N', 'betaine_BetI', 'mycofactocin', 'Mycofactocin_RRE', 'mycofact_rSAM', 'actino_HemFlav', 'mycofact_glyco', 'mycofact_creat', 'SDR_subfam_2', 'mycofact_TetR', 'DUF4293', 'DUF6338']",1
165,"['Pribosyltran', 'Phosphodiest', 'chol_sulfatase', 'Aldo_ket_red', 'actino_HemFlav', 'mycofact_glyco', 'SDR_subfam_2', 'mycofact_creat', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'NDMA_methanol', 'AAA_5', 'SelP_N', 'VWA_CoxE', 'Methyltransf_11', 'Response_reg', 'GerE', 'HisKA_3', 'Fe-ADH']",1
166,"['PrmC_N', 'AMP-binding', 'AMP-binding_C', 'benz_CoA_lig', 'GerE', 'GAF_2', 'AAA_16', 'GerE', 'TOMM_kin_cyc', 'HTH_23', 'TPR_19', 'Sigma70_r4_2', 'HTH_42', 'Thioesterase', 'mycofactocin', 'Mycofactocin_RRE', 'mycofact_rSAM', 'mycofact_OYE_1', 'mycofact_OYE_2', 'ETF_alpha', 'ETF', 'GG-red-SF', 'nadB', 'Fer4_2', 'Fer4', 'mft_etfB', 'mycofact_glyco']",1
167,"['Pyr_redox_2', 'DNA_alkylation', 'Voltage_CLC', 'DoxX_3', 'PA_CoA_Oxy5', 'LIP', 'Abhydrolase_6', 'mycofact_TetR', 'mycofactocin', 'Mycofactocin_RRE', 'mycofact_rSAM', 'actino_HemFlav', 'SDR_subfam_1', 'CoA_transf_3', 'mycofact_creat', 'mycofact_glyco', 'GMC_mycofac_2', 'phnR_burk']",1
168,"['Pyr_redox_2', 'DNA_alkylation', 'Voltage_CLC', 'DoxX_3', 'PA_CoA_Oxy5', 'LIP', 'Chlorophyllase2', 'mycofact_TetR', 'Mycofactocin_RRE', 'mycofact_rSAM', 'actino_HemFlav', 'SDR_subfam_1', 'CoA_transf_3', 'mycofact_creat', 'mycofact_glyco', 'GMC_mycofac_2', 'phnR_burk']",1
169,"['TetR_N', 'TetR_C_31', 'SPW', 'PA_CoA_Oxy5', 'drrA', 'Wzz', 'mycofact_TetR', 'mycofactocin', 'Mycofactocin_RRE', 'mycofact_rSAM', 'actino_HemFlav', 'mycofact_OYE_1', 'SDR_subfam_1', 'mycofact_OYE_2', 'T7SS_ESX_EspC']",1
170,"['TetR_N', 'mycofact_TetR', 'SPW', 'Pyr_redox_2', 'Reductase_C', 'glut_race', 'DNA_alkylation', 'PA_CoA_Oxy5', 'TetR_N', 'mycofactocin', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofact_glyco', 'Rv0697', 'PaaX', 'Trans_reg_C', 'AA-adenyl-dom', 'Condensation', 'alpha_am_amid', 'ligase_PEP_1', 'PP-binding', 'AA-adenyl-dom', 'AMP-binding', 'Condensation', 'alpha_am_amid', 'PP-binding', 'Thioesterase', 'MbtH', 'HTH_3', 'TPR_MalT', 'TPR_19', 'CMD', 'CUE']",1
171,"['TetR_N', 'efflux_EmrB', 'PE', 'Rv0697', 'mycofact_glyco', 'mycofact_creat', 'actino_HemFlav', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'mycofact_TetR', 'Sig70_famx2', 'Glyoxalase_6', 'Pyr_redox_2', 'Reductase_C', 'SDR_subfam_1', 'SHOCT', 'cytochro_ccmI']",1
172,"['mycofact_glyco', 'SDR_subfam_2', 'mycofact_creat', 'mycofact_rSAM', 'mycofact_MftB', 'mycofactocin', 'PaaB1', 'ECH_2', 'CoA_transf_3', 'Amidohydro_3', 'ECH_1', 'DUF2889', 'VP_N-CPKC']",1
173,"['mycofact_glyco', 'ETF', 'Fer4_2', 'Fer4', 'GG-red-SF', 'ETF_alpha', 'mycofact_OYE_2', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'HD', 'sCache_3_2', 'hemeryth_dom', 'HD', 'Phn-HD', 'sCache_2', 'phoR_proteo', 'sensory_box', 'DivIC', 'VWA_CoxE']",1
174,"['mycofact_glyco', 'Isochorismatase', 'PqqA', 'Peripla_BP_2', 'Transp_cyt_pur', 'thia_cytX', 'mycofact_creat', 'efflux_Bcr_CflA', 'Pyrid_ox_like', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'mycofact_TetR', 'am_tr_V_VC1184', 'Polyketide_cyc2', 'FAD_binding_3', 'Thi4', 'Sortase', 'TgpA_N']",1
175,"['mycofact_glyco', 'Isochorismatase', 'PqqA', 'Peripla_BP_2', 'mycofact_creat', 'UPF0225', 'SEC-C', 'Pyrid_ox_like', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'mycofact_TetR', 'actino_HemFlav', 'FAD_binding_3', 'Rxyl_3153', 'gas_vesic_GvpN', 'Cob-chelat-sub']",1
176,"['mycofact_glyco', 'Peripla_BP_2', 'mycofact_creat', 'Response_reg', 'TMAO_torS', 'UPF0225', 'SEC-C', 'Pyrid_ox_like', 'EAL', 'GGDEF', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'mycofact_TetR', 'actino_HemFlav', 'DUF1707', 'DUF3270', 'DUF4791', 'DUF3043', 'FAD_binding_3', 'crtI_fam', 'Rxyl_3153']",1
177,"['mycofact_glyco', 'Phosphodiest', 'AI-2E_transport', 'Lin0512_fam', 'mycofact_creat', 'mycofact_OYE_2', 'mycofact_OYE_1', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'DUF952', 'Acetyltransf_1', 'Androgen_recep', 'Kinocilin', 'HATPase_c', 'Response_reg', 'GerE', 'FAD_binding_5', 'CO_deh_flav_C']",1
178,"['mycofact_glyco', 'Ribosomal_L31', 'bacter_Pnkp', 'bacter_Hen1', 'Peripla_BP_2', 'mycofact_creat', 'Pyrid_ox_like', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'mycofact_TetR', 'GGDEF', 'Phage_holin_3_6', 'Spore_YhaL', 'DSBA', 'Polyketide_cyc2', 'HTH_20']",1
179,"['mycofact_glyco', 'SDR_subfam_2', 'mycofact_creat', 'actino_HemFlav', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'NDMA_methanol', 'AAA_5', 'AAA_30', 'VWA_CoxE', 'Methyltransf_11', 'BioC', 'DUF6374', 'Gpr1_Fun34_YaaH', 'Response_reg', 'GerE', 'HTH_38', 'HisKA_3']",1
180,"['mycofact_glyco', 'SDR_subfam_2', 'mycofact_creat', 'actino_HemFlav', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'mycofact_TetR', 'SDR_subfam_1', 'gcvP', 'gcvT', 'gcvH', 'SHMT', 'sda_mono']",1
181,"['mycofact_glyco', 'mycofact_creat', 'Acetyltransf_1', 'mycofact_OYE_2', 'SDR_subfam_1', 'mycofact_OYE_1', 'actino_HemFlav', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'mycofact_TetR', 'Methyltransf_11', 'Response_reg', 'GerE', 'HisKA_3', 'DUF2604', 'Fe-ADH', 'DUF2871', 'integ_memb_HG']",1
182,"['NDMA_methanol', 'AAA_5', 'Sigma54_activ_2', '26Sp45', 'VWA_CoxE', 'Methyltransf_25', 'mycofact_glyco', 'SDR_subfam_2', 'actino_HemFlav', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'Fe-ADH', 'HisKA_3', 'GAF_2', 'DUF2604', 'Response_reg', 'GerE', 'Trans_reg_C', 'mycofact_creat', 'Cupin_6', 'HTH_18', 'Flavodoxin_2', 'DUF664']",1
183,"['mycofact_glyco', 'mycofact_creat', 'CoA_transf_3', 'SDR_subfam_1', 'Pkinase', 'Pkinase', 'DUF4189', 'actino_HemFlav', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'mycofact_TetR', 'PA_CoA_Oxy5', 'DoxX_3', 'DNA_alkylation', 'Pyr_redox_2', 'Reductase_C', 'RskA']",1
184,"['mycofact_glyco', 'mycofact_creat', 'DUF222', 'HNH', 'mycofact_OYE_2', 'SDR_subfam_1', 'mycofact_OYE_1', 'actino_HemFlav', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'mycofact_TetR', 'Methyltransf_11', 'DUF1127', 'PA_CoA_Oxy5', 'SPW', 'IPTL_CTERM', 'TetR_N', 'betaine_BetI', 'glut_race', 'Pyr_redox_2', 'Reductase_C']",1
185,"['mycofact_glyco', 'mycofact_creat', 'Ricin_B_lectin', 'mycofact_OYE_2', 'SDR_subfam_1', 'mycofact_OYE_1', 'actino_HemFlav', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'mycofact_TetR', 'Methyltransf_11', 'PA_CoA_Oxy5', 'SPW', 'BNR', 'TetR_N', 'mycofact_TetR', 'glut_race', 'Pyr_redox_2']",1
186,"['mycofact_glyco', 'mycofact_creat', 'actino_HemFlav', 'VWA_CoxE', 'marine_srt_targ', 'AAA_5', 'MCM', 'SDR_subfam_1', 'SDR_subfam_1', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'mycofact_TetR', 'Bac_rhamnosid6H', 'Bac_rhamnosid_C', '3keto-disac_hyd', 'Laminin_G_2', 'uvra', 'Glyoxalase_6', 'DinB_2', 'AHSA1', 'MarR_2', 'HTH_Crp_2', 'GntR', 'SGL', 'NHL', 'Tcp10_C']",1
187,"['mycofact_glyco', 'mycofact_creat', 'actino_HemFlav', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'COesterase', 'TMEM_230_134', 'TetR_C_6', 'SDR_subfam_1', 'Cupin_3', 'Amino_oxidase']",1
188,"['mycofact_glyco', 'mycofact_creat', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'NDMA_methanol', 'AAA_5', 'TsaE', 'VWA_CoxE', 'Methyltransf_11', 'Gpr1_Fun34_YaaH', 'Response_reg', 'GerE', 'HisKA_3']",1
189,"['mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'DUF952', 'Acetyltransf_1', 'Acetyltransf_7', 'NDMA_methanol', 'gas_vesic_GvpN', 'VWA_CoxE', 'NDMA_methanol', 'AAA_5', 'CbbQ_C', 'VWA_CoxE']",1
190,"['mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'Methyltransf_11', 'Response_reg', 'GerE', 'HisKA_3', 'a_cpa1', 'Fe-ADH', 'VWA_CoxE', 'AAA_5', 'CbbQ_C', 'NDMA_methanol']",1
191,"['mycofact_glyco', 'ETF', 'Fer4_2', 'Fer4', 'GG-red-SF', 'ETF_alpha', 'ETF', 'mycofact_OYE_2', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'NUDIX', 'DZR', 'zinc_ribbon_2', 'NAD_binding_10', 'HpnA', 'DUF4918', 'Cytochrom_C552', 'cytochr_NrfH', 'PhoB', 'phoR_proteo', 'cztS_silS_copS']",1
192,"['mycofact_glyco', 'Beta-lactamase', '4HBT', 'Methyltransf_19', 'SDR_subfam_1', 'mycofact_creat', 'actino_HemFlav', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'Rv0697', 'mycofact_TetR', 'DUF2071', 'argG', 'fdhA_non_GSH', 'LPG_synthase_TM', 'Methyltransf_11', 'Ubie_methyltran', 'UPF0146']",1
193,"['mycofact_creat', 'mft_etfB', 'Fer4_9', 'Fer4', 'aprB', 'GG-red-SF', 'DAO', 'ETF_alpha', 'ETF', 'mycofact_OYE_2', 'mycofact_OYE_1', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'mycofact_TetR', 'Rxyl_3153', 'PEP_resp_reg', 'Sigma54_activ_2', 'AAA_22', 'HTH_23', 'Rv1155_F420', 'AcCoA-C-Actrans', 'OB_aCoA_assoc', 'DUF35_N', 'T2SSE_N']",1
194,"['mycofact_creat', 'mft_etfB', 'Fer4_2', 'Fer4', 'RLI', 'GG-red-SF', 'Pyr_redox', 'ETF_alpha', 'ETF', 'mycofact_OYE_2', 'mycofact_OYE_1', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'mycofact_TetR', 'NDMA_methanol', 'AAA_5', 'VWA_CoxE', 'Methyltransf_25', 'Response_reg', 'GerE']",1
195,"['mycofact_OYE_2', 'Phasin', 'NRN1', 'HTH_20', 'AHSA1', 'mycofact_OYE_1', 'Methyltransf_3', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'Rxyl_3153', 'AAA_5', 'Cob-chelat-sub', 'VWA_CoxE', 'AMP-binding', 'AMP-binding_C', 'HTH_18', 'DUF6597', 'TIGR03086', 'ac_ac_CoA_syn']",1
196,"['mycofact_OYE_2', 'Pyrid_ox_like', 'SDR_subfam_1', 'SDR_subfam_1', 'SDR_subfam_1', 'mycofact_OYE_1', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'mycofact_TetR', 'Aldo_ket_red', 'am_tr_V_VC1184', 'FAD_binding_3', 'Rxyl_3153', 'gas_vesic_GvpN']",1
197,"['mycofact_OYE_2', 'Pyrid_ox_like', 'VWA_2', 'marine_srt_targ', 'VWA_3', 'gas_vesic_GvpN', 'Mg_chelatase', 'SDR_subfam_1', 'SDR_subfam_1', 'mycofact_OYE_1', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'mycofact_TetR', 'TetR_N', 'mycofact_TetR', 'TetR_C_15', 'LacI', 'am_tr_V_VC1184', 'FAD_binding_3', 'SpoIIE', 'GAF_2', 'DUF6286', 'DUF6286']",1
198,"['mycofact_TetR', 'actino_HemFlav', 'SDR_subfam_1', 'mycofact_TetR', 'mycofact_glyco', 'mycofact_creat', 'actino_HemFlav', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'Rv0697', 'Transgly_assoc', 'ant_ant_sig', 'DoxX', 'Nitroreductase', 'Ricin_B_lectin', 'Cellulase']",1
199,"['mycofact_TetR', 'mycofact_glyco', 'SDR_subfam_2', 'mycofact_creat', 'actino_HemFlav', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'CO_dehy_Mo_lg', 'CO_dehy_Mo_lg', 'FAD_binding_5', 'CO_deh_flav_C', 'pucE', 'COXG', 'SnoaL_4', 'Lumazine_bd_2', 'ECH_1']",1
200,"['mycofact_TetR', 'mycofactocin', 'Mycofactocin_RRE']",1
201,"['mycofact_creat', 'CoA_transf_3', 'TetR_N', 'TetR_C_33', 'adh_short_C2', 'SnoaL_2', 'SDR_subfam_1', 'actino_HemFlav', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'mycofact_TetR', 'PA_CoA_Oxy5', 'DoxX', 'MatE', 'FixQ', 'cognate_SipW', 'SPX']",1
202,"['mycofact_creat', 'CoA_transf_3', 'TetR_N', 'TetR_C_33', 'adh_short_C2', 'SnoaL_2', 'SDR_subfam_1', 'actino_HemFlav', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'mycofact_TetR', 'PA_CoA_Oxy5', 'DoxX_3', 'DNA_alkylation', 'Pyr_redox_2', 'Reductase_C', 'DUF6670', 'TetR_N', 'HTH_IclR']",1
203,"['mycofact_creat', 'CoA_transf_3', 'TetR_N', 'TetR_C_33', 'adh_short_C2', 'SnoaL_2', 'SDR_subfam_1', 'actino_HemFlav', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'mycofact_TetR', 'PA_CoA_Oxy5', 'DoxX_3', 'DNA_alkylation', 'Pyr_redox_2', 'Reductase_C', 'PS_I_psaM', 'DUF945', 'DUF6459']",1
204,"['mycofact_creat', 'ETF', 'mft_etfB', 'Fer4_2', 'GG-red-SF', 'ETF_alpha', 'mycofact_OYE_2', 'mycofact_OYE_1', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'bioA', 'NHL', 'SGL', 'SigZ', 'zf-HC2', 'trp_oprn_chp', 'Ferric_reduct', 'PA_CoA_Oxy5', 'FMN_bind', 'ApbE']",1
205,"['mycofact_creat', 'ETF_alpha', 'mycofact_OYE_2', 'VWA_2', 'AAA_5', 'MCM', 'mycofact_OYE_1', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'mycofact_TetR', 'mycofact_glyco', 'Meth_synt_2', '3-dmu-9_3-mt', 'BLOC1_2']",1
206,"['mycofact_creat', 'UPF0225', 'SEC-C', 'Pyrid_ox_like', 'EAL', 'GGDEF', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'mycofact_TetR', 'actino_HemFlav', 'DUF1707', 'FAD_binding_3', 'Se_ygfK', 'Rxyl_3153', 'AAA_5', 'MCM', 'AAA_30', 'MOSC']",1
207,"['mycofact_creat', 'actino_HemFlav', 'VWA_2', 'AAA_5', 'SDR_subfam_1', 'SDR_subfam_1', 'SDR_subfam_1', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'mycofact_TetR', 'Rv0697', 'efflux_EmrB', 'TetR_N', 'TetR_N', 'TetR_C_31', 'MMPL']",1
208,"['mycofact_creat', 'actino_HemFlav', 'VWA_2', 'marine_srt_targ', 'CobT_C', 'Rnk_N', 'AAA_5', 'MCM', 'SDR_subfam_1', 'SDR_subfam_1', 'SDR_subfam_1', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'mycofact_TetR', 'Rv0697', 'SDR_subfam_1', 'TetR_N', 'LacI', 'F5_F8_type_C', 'CARDB', 'B_ant_repeat', 'Beta_helix', 'APH']",1
209,"['mycofact_creat', 'actino_HemFlav', 'VWA_2', 'marine_srt_targ', 'VWA', 'AAA_5', 'bpMoxR', 'SDR_subfam_1', 'SDR_subfam_1', 'SDR_subfam_1', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'mycofact_TetR', 'Rv0697', 'Methyltransf_11', 'Methyltransf_25', 'LssY_C', 'TIGR00147', 'NTP_transf_2']",1
210,"['mycofact_creat', 'actino_HemFlav', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'Rv0697', 'adh_short_C2', 'Pyr_redox_2']",1
211,"['mycofact_creat', 'efflux_Bcr_CflA', 'Pyrid_ox_like', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'mycofact_TetR', 'am_tr_V_VC1184', 'NDMA_methanol', 'AAA_5', 'VWA_CoxE', 'Aldo_ket_red', 'Polyketide_cyc2']",1
212,"['mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'NDMA_methanol', 'AAA_5', 'chaperone_ClpB', 'CbbQ_C', 'SelP_N', 'VWA_CoxE', 'Methyltransf_11', 'Response_reg', 'GerE', 'HisKA_3', 'HATPase_c', 'Fe-ADH']",1
213,"['mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'mycofact_TetR', 'Rxyl_3153', 'Usp', 'P_acnes_RR', 'TAT_signal_seq', 'FmdA_AmdA', 'aceE', 'AsnC_trans_reg', 'HTH_AsnC-type']",1
214,"['mycofact_rSAM', 'actino_HemFlav', 'mycofact_creat', 'mycofact_glyco', 'TRX_reduct', 'Rv0697', 'mycofact_TetR', 'HTH_23', 'mycofactocin', 'Mycofactocin_RRE', 'nickel_nikE', 'nickel_nikD', 'nickel_nikC', 'nickel_nikB', 'SBP_bac_5', 'Amidohydro_2', 'tdh', 'Tombus_P33']",1
215,"['quinone_pig3', 'zinc_ribbon_5', 'MJ0042_CXXC', 'Methyltransf_11', 'Methyltransf_25', 'metW', 'Methyltransf_25', 'VWA_CoxE', '3-alpha', 'AAA_5', 'NDMA_methanol', 'mycofactocin', 'Mycofactocin_RRE', 'mycofact_rSAM', 'mycofact_creat', 'SDR_subfam_2', 'mycofact_glyco', 'actino_HemFlav', 'Lipase_GDSL_2', 'HTH_31', 'AHSA1', 'Trypsin']",1
216,"['rplD_bact', 'L3_bact', 'rpsJ_bact', 'Rv0697', 'mycofact_glyco', 'mycofact_creat', 'actino_HemFlav', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'mycofact_TetR', 'DUF2332', 'Eno-Rase_FAD_bd', 'HTH_3', 'HTH_26', 'Utp14', 'HTH_31', 'Pyr_redox_2', 'Reductase_C', 'SDR_subfam_1']",1
217,"['rpsJ_bact', 'Rv0697', 'mycofact_glyco', 'mycofact_creat', 'actino_HemFlav', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'mycofact_TetR', 'DUF2332', 'Sig70_famx2', 'Glyoxalase_6', 'Sirohm_synth_M', 'Pyr_redox_2', 'Reductase_C', 'SDR_subfam_1', 'SHOCT', 'DUF5826']",1
218,"['rpsJ_bact', 'TetR_N', 'Rv0697', 'mycofact_glyco', 'mycofact_creat', 'actino_HemFlav', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'mycofact_TetR', 'DUF2332', 'Aldo_ket_red', 'Inositol_P', 'Pyr_redox_2', 'Reductase_C', 'SDR_subfam_1', 'SHOCT', 'DUF4133']",1
219,"['secA', 'SecA2_Bac_anthr', 'SecA2_Mycobac', 'HTH_23', 'E1-E2_ATPase', 'cdk7', 'mycofact_creat', 'mycofact_OYE_2', 'mycofact_OYE_1', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'DUF952', 'Acetyltransf_1', 'Acetyltransf_6', 'RCC1_2', 'RCC1', 'TrkA_C', 'Na_H_Exchanger', 'Trypsin_2', 'TPR_16', 'DZR', 'TIGR00096', 'PMT_4TMC', 'PMT_2']",1
220,"['sensory_box', 'TMAO_torS', 'RNase_PH_C', 'FIST', 'AFOR_C', 'AFOR_N', 'Ni_insertion', 'AIRC', 'purE', 'TIGR00268', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'SDR_subfam_1', 'GRDB', 'ParA', 'OrfB_Zn_ribbon', 'DUF362', 'DUF362', 'aprB', 'Phenol_MetA_deg']",1
221,"['serS', 'matE', 'matE', 'DAHP_synth_Bsub', 'DAHP_snth_FXD', 'DnaJ', 'DUF6647', 'VWA_2', 'PHA_synth_I', 'PHBC_N', 'propionate_PrpR', 'GAF', 'HTH_30', 'HTH_28', 'Mycofactocin_RRE', 'SDR_subfam_1', 'mycofactocin', 'mycofact_glyco', 'Creatininase', 'mft_etfB', 'Fer4_2', 'Fer4', 'aprB', 'GG-red-SF', 'ETF_alpha']",1
222,"['sixA', 'sixA', 'dak_ATP', 'GMC_mycofac_2', 'mycofact_glyco', 'mycofact_creat', 'actino_HemFlav', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'mycofact_TetR', 'Hydrolase_4', 'MLTR_LBD', 'couple_hipB', 'adh_short', 'HTH_30', 'GGDEF_2', 'AMP-binding', 'AMP-binding_C', 'DUF3556']",1
223,"['soxG', 'sda_mono', 'GCV_T', 'pcaR_pcaU', 'mycofact_glyco', 'mycofact_creat', 'actino_HemFlav', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'Rv0697']",1
224,"['tRNA_TsaA', 'NicO', 'SfLAP', 'FUR', 'NUDIX', 'Rad50_zn_hook', 'mycofact_glyco', 'Methyltransf_23', 'PqqD_rel_X', 'Creatininase', 'actino_HemFlav', 'mycofact_rSAM', 'Mycofactocin_RRE', 'SDR_subfam_1', 'mycofactocin', 'Methyltransf_11', 'Methyltransf_23', 'VWA_CoxE', 'Ribosomal_S30AE', 'VWA_CoxE', 'TetR_C_11', 'NPV_P10', 'AAA_5', '26Sp45', 'NDMA_methanol', 'AbrB', 'Gneg_AbrB_dup']",1
225,"['thiS', 'thiamin_ThiO', 'TMP-TENI', 'mycofact_glyco', 'SDR_subfam_2', 'mycofact_creat', 'actino_HemFlav', 'mycofact_rSAM', 'rSAM_for_selen', 'Mycofactocin_RRE', 'mycofactocin', 'mycofact_TetR', 'MmgE_PrpD', 'MmgE_PrpD_C', 'adh_short_C2', 'HIBADH', 'adh_short_C2']",1
226,"['thiazolyl_GetA', 'NUDIX', 'NYN_YacP', 'EF_0839', 'LCM', 'TPR_4', 'EamA', 'mycofact_TetR', 'mycofactocin', 'Mycofactocin_RRE', 'mycofact_rSAM', 'mycofact_OYE_1', 'mycofact_OYE_2', 'SDR_subfam_2', 'mycofact_glyco', 'mycofact_creat', 'Rxyl_3153', 'MoCoBD_2', 'MoCoBD_1', 'LAL_C2', 'Sigma70_r4_2']",1
227,"['thioredoxin', 'Thioredoxin_7', 'Abhydrolase_6', 'GMC_mycofac_2', 'mycofact_glyco', 'mycofact_creat', 'SDR_subfam_1', 'actino_HemFlav', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'mycofact_TetR', 'DUF4442', 'DUF4191', 'HTH_34', 'HTH_5', 'ABC2_membrane', 'drrC', 'drrA', 'Glyoxalase']",1
228,"['thiovirid_RiPP', 'DUF3828', 'INV_N', 'Glyco_tranf_2_5', 'Pyr_redox_2', 'DNA_alkylation', 'PA_CoA_Oxy5', 'mycofact_TetR', 'cyc_hxne_CoA_dh', 'mycofactocin', 'Mycofactocin_RRE', 'mycofact_rSAM', 'actino_HemFlav', 'SDR_subfam_1', 'CoA_transf_3', 'mycofact_creat', 'mycofact_glyco', 'GMC_mycofac_2', 'Glycos_transf_2']",1
