,domains
WP_050670286.1,['Aldedh']
WP_050670287.1,['actino_HemFlav']
WP_197275039.1,['mycofact_glyco']
WP_050670288.1,['SDR_subfam_2']
WP_050670289.1,['mycofact_creat']
WP_050670290.1,['mycofact_rSAM']
WP_050670291.1,['Mycofactocin_RRE']
WP_231635232.1,['mycofactocin']
WP_050670292.1,['NDMA_methanol']
WP_050670293.1,['AAA_5']
WP_050670294.1,['VWA_CoxE']
WP_050670295.1,['Methyltransf_11']
WP_050671923.1,"['Response_reg', 'GerE']"
WP_071606380.1,['HisKA_3']
WP_231635233.1,['Fe-ADH']
WP_035391145.1,['Rrf2']
WP_052566188.1,['Phosphodiest']
WP_035391143.1,['BPA']
WP_035391141.1,['rpiB_lacA_lacB']
WP_160290376.1,"['Chlorophyllase2', 'PAF-AH_p_II', 'BAAT_C']"
WP_236684636.1,['Amidase']
WP_035391134.1,['PaaN-DH']
WP_052566189.1,['OrfB_IS605']
WP_035391132.1,['Mycofactocin_RRE']
WP_052566191.1,['mycofact_rSAM']
WP_035391130.1,"['GGDEF', 'GAF']"
WP_035391129.1,['bioA']
WP_035391127.1,['SDR_subfam_2']
WP_035391125.1,['mycofact_creat']
WP_052566192.1,['His_Phos_1']
WP_035391123.1,['xseA']
WP_035391121.1,['xseB']
WP_200891312.1,['TFIID_30kDa']
WP_052606847.1,['mycofactocin']
WP_052606848.1,['Mycofactocin_RRE']
WP_052606849.1,['mycofact_rSAM']
WP_052606852.1,['HTH_3']
WP_052606853.1,['PhdYeFM_antitox']
WP_052606854.1,['YoeB_toxin']
WP_152626147.1,"['DDE_3', 'HTH_33']"
WP_052850932.1,['mycofact_creat']
WP_052850933.1,['actino_HemFlav']
WP_223291113.1,"['VWA_2', 'marine_srt_targ', 'CobT_C', 'Rnk_N']"
WP_052850935.1,"['AAA_5', 'MCM']"
WP_052850936.1,['SDR_subfam_1']
WP_052850937.1,['SDR_subfam_1']
WP_052850938.1,['SDR_subfam_1']
WP_052850939.1,['mycofact_rSAM']
WP_052851098.1,['Mycofactocin_RRE']
WP_110946050.1,['mycofactocin']
WP_052850940.1,['mycofact_TetR']
WP_052850941.1,['Rv0697']
WP_052850942.1,['SDR_subfam_1']
WP_052850943.1,"['TetR_N', 'LacI']"
WP_052850944.1,"['F5_F8_type_C', 'CARDB', 'B_ant_repeat', 'Beta_helix']"
WP_052850946.1,['APH']
WP_052888476.1,['cyc_hxne_CoA_dh']
WP_052888477.1,['AcCoA-C-Actrans']
WP_052888479.1,['Rxyl_3153']
WP_052888480.1,['Glyoxalase']
WP_052888481.1,['Ran-binding']
WP_052888482.1,['SDR_subfam_1']
WP_052888483.1,['mycofactocin']
WP_052888484.1,['pbp2_mrdA']
WP_052888485.1,['Mycofactocin_RRE']
WP_081838576.1,['mycofact_rSAM']
WP_052888486.1,['protocat_pcaD']
WP_052888487.1,['mycofact_glyco']
WP_052888488.1,"['GxGYxYP_C', 'GxGYxYP_N']"
WP_052888489.1,"['AMP-binding', 'AMP-binding_C']"
WP_052888490.1,"['isochor_syn', 'SPC25']"
WP_052888491.1,"['DUF4097', 'DUF6480', 'DUF4402']"
WP_052888492.1,['Ribonuc_L-PSP']
WP_053755275.1,['DAO']
WP_053755276.1,['Amidohydro_2']
WP_053755277.1,['acolac_lg']
WP_053755278.1,['Ldh_2']
WP_053755279.1,['Abhydrolase_3']
WP_053755292.1,['Rv0697']
WP_053755281.1,['mycofactocin']
WP_053755282.1,['Mycofactocin_RRE']
WP_053755283.1,['mycofact_rSAM']
WP_053755284.1,['actino_HemFlav']
WP_053755285.1,['mycofact_creat']
WP_053755286.1,['mycofact_glyco']
WP_053755287.1,"['mycofact_TetR', 'TetR_C_14']"
WP_053755288.1,['Sulf_transp']
WP_053755289.1,['Sulf_transp']
WP_054055636.1,"['LysR_substrate', 'HTH_1']"
WP_067520526.1,['HTH_3']
WP_197672049.1,['Peptidase_S8']
WP_231949491.1,"['AAA_5', 'VWA_CoxE', 'Cob-chelat-sub']"
WP_054046044.1,['Rxyl_3153']
WP_231949814.1,"['HTH_8', 'ntrC', 'PpsR-CrtJ', 'AAA_18']"
WP_054055637.1,['Aldedh']
WP_082859660.1,['mycofactocin']
WP_054046050.1,['Mycofactocin_RRE']
WP_054046052.1,['mycofact_rSAM']
WP_054046054.1,['actino_HemFlav']
WP_054046056.1,['mycofact_creat']
WP_054046058.1,['SDR_subfam_2']
WP_067520531.1,['mycofact_glyco']
WP_054046060.1,['acyl_WS_DGAT']
WP_054046062.1,['glycerol3P_DH']
WP_067520537.1,"['HAD-SF-IB-hyp1', 'AGP_acyltrn']"
WP_063793957.1,['mycofact_creat']
WP_055631103.1,['actino_HemFlav']
WP_055631104.1,['mycofact_rSAM']
WP_055597778.1,['Mycofactocin_RRE']
WP_063793569.1,['mycofactocin']
WP_055631105.1,['Rv0697']
WP_055631106.1,['adh_short_C2']
WP_141666277.1,['Pyr_redox_2']
WP_235457780.1,['Rv1155_F420']
WP_235457477.1,['GMC_mycofac_2']
WP_156378169.1,['mycofact_glyco']
WP_055792596.1,['mycofact_creat']
WP_055792600.1,['CoA_transf_3']
WP_055792603.1,['SDR_subfam_1']
WP_045823729.1,['actino_HemFlav']
WP_055792606.1,['mycofact_rSAM']
WP_055792608.1,['Mycofactocin_RRE']
WP_082502135.1,['mycofactocin']
WP_082502216.1,['mycofact_TetR']
WP_055792613.1,['PA_CoA_Oxy5']
WP_055792616.1,"['CD24', 'DUF3482']"
WP_055793813.1,['DNA_alkylation']
WP_055792617.1,"['Pyr_redox_2', 'Reductase_C']"
WP_055792624.1,['CLSTN_C']
WP_056295459.1,['mycofact_OYE_2']
WP_056295462.1,['Pyrid_ox_like']
WP_235564779.1,"['VWA_2', 'marine_srt_targ', 'VWA_3']"
WP_056295468.1,"['gas_vesic_GvpN', 'Mg_chelatase']"
WP_056295470.1,['SDR_subfam_1']
WP_056295473.1,['SDR_subfam_1']
WP_056295477.1,['mycofact_OYE_1']
WP_056295481.1,['mycofact_rSAM']
WP_082556906.1,['Mycofactocin_RRE']
WP_082556907.1,['mycofactocin']
WP_235564780.1,['mycofact_TetR']
WP_056295483.1,"['TetR_N', 'mycofact_TetR', 'TetR_C_15', 'LacI']"
WP_056295486.1,['am_tr_V_VC1184']
WP_255352991.1,['FAD_binding_3']
WP_056295492.1,"['SpoIIE', 'GAF_2']"
WP_056295495.1,['DUF6286']
WP_056295497.1,['DUF6286']
WP_056536619.1,['DSBA']
WP_235561866.1,['Polyketide_cyc2']
WP_056536622.1,['SmpB']
WP_056536625.1,"['Glyco_hydro_15', 'TREH_N']"
WP_235561867.1,['zwf']
WP_056536627.1,"['SigBFG', 'Sig-70_plancto1']"
WP_056536630.1,['mycofact_TetR']
WP_056536633.1,['mycofactocin']
WP_056536636.1,['Mycofactocin_RRE']
WP_056536640.1,['mycofact_rSAM']
WP_056536643.1,['actino_HemFlav']
WP_082533716.1,['mycofact_creat']
WP_056536646.1,['SDR_subfam_2']
WP_235561869.1,['mycofact_glyco']
WP_056536649.1,['VWA_CoxE']
WP_056536652.1,['AAA_5']
WP_056536655.1,['Rxyl_3153']
WP_056680803.1,['HEAT_2']
WP_200951129.1,['VWA_CoxE']
WP_082563730.1,"['gas_vesic_GvpN', 'selen_PSTK']"
WP_056680811.1,['Rxyl_3153']
WP_082563731.1,"['HTH_8', 'ntrC', 'PpsR-CrtJ', 'DUF4166', 'AAA_18']"
WP_056680814.1,['Aldedh']
WP_082563732.1,['mycofactocin']
WP_056680815.1,['Mycofactocin_RRE']
WP_056680818.1,['mycofact_rSAM']
WP_056680821.1,['actino_HemFlav']
WP_056680824.1,['mycofact_creat']
WP_056680827.1,['SDR_subfam_2']
WP_235532556.1,['mycofact_glyco']
WP_056680836.1,"['HTH_IclR', 'HTH_17']"
WP_082590484.1,['actino_HemFlav']
WP_200952590.1,['VWA_2']
WP_056732408.1,"['AAA_5', 'MCM']"
WP_056732410.1,['SDR_subfam_1']
WP_056732412.1,['SDR_subfam_1']
WP_056732414.1,['SDR_subfam_1']
WP_056732416.1,['SDR_subfam_1']
WP_056732418.1,['mycofact_rSAM']
WP_056732420.1,['Mycofactocin_RRE']
WP_056732422.1,['mycofactocin']
WP_200952591.1,['mycofact_TetR']
WP_200952592.1,['Rv0697']
WP_056732426.1,"['recQ', 'Pribosyltran', 'DprA_WH']"
WP_056732427.1,['PTE']
WP_162256643.1,['Lactamase_B']
WP_056732430.1,['trp_arylform']
WP_056732432.1,['Isochorismatase']
WP_056154583.1,['efflux_EmrB']
WP_056154590.1,['DUF6286']
WP_056154593.1,['mycofact_glyco']
WP_056154597.1,['SDR_subfam_2']
WP_056154599.1,['mycofact_creat']
WP_056154602.1,['actino_HemFlav']
WP_056154605.1,['mycofact_rSAM']
WP_056154608.1,['Mycofactocin_RRE']
WP_056154611.1,['mycofactocin']
WP_056154614.1,['mycofact_TetR']
WP_056154616.1,"['Flavin_Reduct', 'pcaR_pcaU']"
WP_056154621.1,"['TetR_N', 'betaine_BetI', 'TetR_C_31']"
WP_056154624.1,"['TetR_N', 'betaine_BetI']"
WP_056154627.1,['Peripla_BP_6']
WP_056154630.1,['BPD_transp_2']
WP_056154632.1,"['urea_trans_UrtD', 'BPD_transp_2']"
WP_056924199.1,['BPD_transp_2']
WP_256363739.1,['SGL']
WP_056924286.1,['Aldedh']
WP_056924201.1,['mycofact_glyco']
WP_235545783.1,['SDR_subfam_2']
WP_056924203.1,['mycofact_creat']
WP_056924204.1,['actino_HemFlav']
WP_056924205.1,['mycofact_rSAM']
WP_056924206.1,['Mycofactocin_RRE']
WP_157606432.1,['mycofactocin']
WP_056924207.1,['mycofact_TetR']
WP_056924208.1,['Chorion_S16']
WP_056924209.1,['DUF520']
WP_082594340.1,['TOMM_kin_cyc']
WP_056924210.1,['pepN_strep_liv']
WP_056924211.1,['CSD']
WP_056924212.1,"['Peptidase_M48', 'DUF4010']"
WP_054880671.1,['EF-G']
WP_047313536.1,['EF-Tu']
WP_054880670.1,"['SHOCT', 'DUF5826']"
WP_047313534.1,['SDR_subfam_1']
WP_156166279.1,['Pyr_redox_2']
WP_054880669.1,['DUF2332']
WP_156406864.1,"['mycofact_TetR', 'TetR_N', 'HTH_23']"
WP_047313775.1,['mycofactocin']
WP_156406700.1,['Mycofactocin_RRE']
WP_054881088.1,['mycofact_rSAM']
WP_054880667.1,['actino_HemFlav']
WP_054880666.1,['mycofact_creat']
WP_156406701.1,['DUF4716']
WP_047313528.1,['mycofact_glyco']
WP_156166277.1,['Rv0697']
WP_054880665.1,['DUF4442']
WP_003873519.1,['rpsJ_bact']
WP_057230142.1,['omega_3_PfaA']
WP_057230141.1,['fabH']
WP_057230140.1,"['FkbH', 'NIF']"
WP_057230139.1,['PP-binding']
WP_057230138.1,['ACPS']
WP_057230137.1,"['GerE', 'HTH_23', 'Sigma70_r4_2', 'HTH_40', 'HTH_11']"
WP_057230136.1,['Flavin_Reduct']
WP_063857033.1,['mycofactocin']
WP_200948297.1,['Mycofactocin_RRE']
WP_057230135.1,['mycofact_rSAM']
WP_057230134.1,['mycofact_OYE_1']
WP_057230133.1,['mycofact_OYE_2']
WP_057230132.1,"['ETF_alpha', 'ETF']"
WP_057230131.1,['GG-red-SF']
WP_057230130.1,"['Fer4_2', 'Fer4']"
WP_057230129.1,['mft_etfB']
WP_235502602.1,['SDR_subfam_2']
WP_056688404.1,['TauE']
WP_056688407.1,['CysD']
WP_082564150.1,"['CysN', 'YajC']"
WP_056688410.1,['mycofact_glyco']
WP_056688413.1,['SDR_subfam_2']
WP_056688416.1,['mycofact_creat']
WP_056688419.1,['actino_HemFlav']
WP_056688421.1,['mycofact_rSAM']
WP_082564151.1,['Mycofactocin_RRE']
WP_156388536.1,['mycofactocin']
WP_235530000.1,['mycofact_TetR']
WP_235529962.1,['RibD_C']
WP_156388537.1,['GNAT_like']
WP_056688433.1,['DHPS']
WP_056688437.1,['Glycos_transf_2']
WP_056688440.1,['Hemerythrin']
WP_056890216.1,['Hydrolase_3']
WP_094608118.1,['Transp_cyt_pur']
WP_200936497.1,['Asp_Glu_race']
WP_057475706.1,['DUF2614']
WP_057475707.1,"['WD40', 'AAA_16', 'PD40', 'HTH_31', 'PQQ_ABC_repeats', 'DnaA_homol_Hda', 'choice_anch_B']"
WP_156399372.1,['GerE']
WP_057475708.1,['actino_HemFlav']
WP_057475709.1,['actino_HemFlav']
WP_057475710.1,['mycofact_rSAM']
WP_057475711.1,['Mycofactocin_RRE']
WP_082520764.1,['mycofactocin']
WP_057475805.1,['Methyltransf_11']
WP_057475714.1,"['GerE', 'Response_reg', 'HTH_23']"
WP_200936498.1,['HisKA_3']
WP_057475806.1,['Fe-ADH']
WP_057475716.1,['VWA_CoxE']
WP_057475717.1,"['AAA_5', 'AAA_3']"
WP_032376592.1,['NDMA_methanol']
WP_055637864.1,['adh_short_C2']
WP_055637865.1,['CMD']
WP_055637866.1,['decarb_PcaC']
WP_055637867.1,['Aldedh']
WP_055637868.1,['adh_short_C2']
WP_055637869.1,['adh_short']
WP_055637870.1,['Rv0697']
WP_063788858.1,['mycofactocin']
WP_055637871.1,['Mycofactocin_RRE']
WP_055637872.1,"['XdhC_C', 'XdhC_CoxI']"
WP_055637873.1,['mycofact_rSAM']
WP_055637874.1,['actino_HemFlav']
WP_055637875.1,['mycofact_creat']
WP_055637876.1,['mycofact_glyco']
WP_055637877.1,['Fer4_13']
WP_055637878.1,['P450_cycloAA_1']
WP_055637879.1,['SDR_subfam_1']
WP_051215738.1,['T2SSF']
WP_026928435.1,"['T2SSF', 'Tir_receptor_C']"
WP_051215737.1,['heli_sec_ATPase']
WP_051215736.1,['CpaE_hom_Actino']
WP_051215735.1,['flgA_cterm']
WP_026928433.1,['actino_HemFlav']
WP_051215734.1,['mycofact_rSAM']
WP_217996375.1,['Mycofactocin_RRE']
WP_081684282.1,['mycofactocin']
WP_026928430.1,['mycofact_TetR']
WP_026928429.1,['3oxo_ACP_reduc']
WP_162143201.1,['ABM']
WP_026928427.1,"['TetR_N', 'AAA_8', 'MoaE']"
WP_162143200.1,['Amidohydro_2']
WP_051215732.1,['Amidohydro_2']
WP_062393780.1,['mycofact_creat']
WP_062393781.1,['CoA_transf_3']
WP_062393782.1,"['TetR_N', 'TetR_C_33']"
WP_062395526.1,['adh_short_C2']
WP_062393783.1,['SnoaL_2']
WP_062393784.1,['SDR_subfam_1']
WP_062393785.1,['actino_HemFlav']
WP_062393786.1,['mycofact_rSAM']
WP_062393787.1,['Mycofactocin_RRE']
WP_120298744.1,['mycofactocin']
WP_062393789.1,['mycofact_TetR']
WP_062393790.1,['PA_CoA_Oxy5']
WP_062393791.1,['DoxX']
WP_062393792.1,['MatE']
WP_062393793.1,['FixQ']
WP_157851075.1,"['cognate_SipW', 'SPX']"
WP_062984021.1,"['TetR_N', 'mycofact_TetR']"
WP_062983888.1,['SPW']
WP_062983890.1,"['Pyr_redox_2', 'Reductase_C']"
WP_062983892.1,['glut_race']
WP_062984023.1,['DNA_alkylation']
WP_062983894.1,['PA_CoA_Oxy5']
WP_062983896.1,['TetR_N']
WP_107660968.1,['mycofactocin']
WP_084483987.1,"['mycofact_rSAM', 'Mycofactocin_RRE']"
WP_062983900.1,['mycofact_glyco']
WP_062983902.1,['Rv0697']
WP_062983904.1,"['PaaX', 'Trans_reg_C']"
WP_062983906.1,"['AA-adenyl-dom', 'Condensation', 'alpha_am_amid', 'ligase_PEP_1', 'PP-binding']"
WP_062983908.1,"['AA-adenyl-dom', 'AMP-binding', 'Condensation', 'alpha_am_amid', 'PP-binding', 'Thioesterase']"
WP_062983910.1,['MbtH']
WP_062983912.1,"['HTH_3', 'TPR_MalT', 'TPR_19']"
WP_062983916.1,"['CMD', 'CUE']"
WP_063054436.1,"['DUF1254', 'TAT_signal']"
WP_056814159.1,['MbtH']
WP_252366835.1,"['AA-adenyl-dom', 'Condensation', 'AMP-binding', 'alpha_am_amid', 'PP-binding']"
WP_056814172.1,"['GAF', 'GAF_2']"
WP_056814175.1,['Rv0697']
WP_056814178.1,['mycofact_glyco']
WP_082843567.1,"['mycofact_rSAM', 'Mycofactocin_RRE']"
WP_101468422.1,['mycofactocin']
WP_056814181.1,"['TetR_C_1', 'TetR_N']"
WP_063054439.1,['PA_CoA_Oxy5']
WP_056816173.1,['DNA_alkylation']
WP_056814186.1,['glut_race']
WP_063054440.1,"['Pyr_redox_2', 'Reductase_C']"
WP_063054441.1,['SPW']
WP_056814194.1,"['TetR_N', 'TetR_C_31']"
WP_054814684.1,['FAA_hydrolase']
WP_239476708.1,['Lactamase_B']
WP_239476709.1,['Rce1-like']
WP_054814685.1,['NAD_binding_10']
WP_054814686.1,"['AHSA1', 'DUF6214']"
WP_054814687.1,['HTH_20']
WP_054814688.1,['S-methyl_trans']
WP_054814689.1,['mycofact_rSAM']
WP_054814690.1,['Mycofactocin_RRE']
WP_054814691.1,['mycofactocin']
WP_054814692.1,['Hemerythrin']
WP_239476710.1,"['SGNH', 'Acyl_transf_3']"
WP_054814693.1,"['Hydrolase_4', 'Abhydrolase_6']"
WP_054814694.1,['Abhydrolase_3']
WP_054814695.1,['DUF397']
WP_054814696.1,['Methyltransf_19']
WP_054814697.1,"['DUF5753', 'HTH_3']"
WP_082934921.1,['Mycofactocin_RRE']
WP_020101386.1,['mycofactocin']
WP_131808856.1,['mycofact_TetR']
WP_064886301.1,"['Mycofactocin_RRE', 'CSLREA_Nterm']"
WP_003881928.1,['mycofactocin']
WP_064886302.1,['mycofact_TetR']
WP_064886303.1,['PhyH']
WP_055111492.1,['Sig70_famx2']
WP_110777688.1,['Glyoxalase_6']
WP_064886304.1,"['Pyr_redox_2', 'Reductase_C']"
WP_064886305.1,"['HTH_AsnC-type', 'MarR', 'Sigma70_r4']"
WP_064886397.1,['DDAH_eukar']
WP_065014871.1,['CYP450_TxtE']
WP_065014872.1,"['TetR_N', 'betaine_BetI', 'RelB']"
WP_065014873.1,['efflux_EmrB']
WP_065014874.1,['Rv0697']
WP_065014875.1,['mycofact_glyco']
WP_065014901.1,['mycofact_creat']
WP_065014876.1,['actino_HemFlav']
WP_065014877.1,['mycofact_rSAM']
WP_065014878.1,['Mycofactocin_RRE']
WP_082969434.1,['mycofactocin']
WP_197495321.1,['mycofact_TetR']
WP_065014880.1,['DUF2332']
WP_197495322.1,"['Pyr_redox_2', 'Reductase_C']"
WP_065014904.1,['SDR_subfam_1']
WP_065014881.1,['EF-Tu']
WP_082969435.1,['EF-G']
WP_036352615.1,['rpsG_bact']
WP_065023315.1,['DUF4442']
WP_065023316.1,['COesterase']
WP_065023317.1,['CYP450_TxtE']
WP_065023318.1,['Rv0697']
WP_065023319.1,['mycofact_glyco']
WP_065023320.1,['mycofact_creat']
WP_065023321.1,['actino_HemFlav']
WP_065023322.1,['mycofact_rSAM']
WP_082966316.1,['mycofact_MftB']
WP_064855838.1,['mycofactocin']
WP_065023324.1,['mycofact_TetR']
WP_065023325.1,['F420_MSMEG_2249']
WP_065023326.1,['Esterase_PHB']
WP_065023327.1,['FMO-like']
WP_065023328.1,"['KshA_C', 'Rieske']"
WP_065023329.1,['Isochorismatase']
WP_065023330.1,"['AMP-binding', 'AMP-binding_C']"
WP_065122701.1,"['Glyoxalase_6', 'Sirohm_synth_M']"
WP_065122702.1,['Sig70_famx2']
WP_065122703.1,['DUF2332']
WP_155772211.1,"['mycofact_TetR', 'TetR_N', 'HTH_23']"
WP_036352637.1,['mycofactocin']
WP_065122725.1,['Mycofactocin_RRE']
WP_065122704.1,['mycofact_rSAM']
WP_065122705.1,['actino_HemFlav']
WP_065122706.1,['mycofact_creat']
WP_065122707.1,['mycofact_glyco']
WP_065122708.1,['Rv0697']
WP_081282532.1,['PE']
WP_081282533.1,['efflux_EmrB']
WP_253849280.1,"['TetR_N', 'TetR_C_11']"
WP_065143197.1,"['SHOCT', 'DUF2162']"
WP_081290233.1,['SDR_subfam_1']
WP_065143199.1,"['Pyr_redox_2', 'Reductase_C']"
WP_065143200.1,['Glyoxalase_6']
WP_253861496.1,['Sig70_famx2']
WP_065143202.1,['DUF2332']
WP_155769384.1,"['mycofact_TetR', 'LacI']"
WP_065143203.1,['mycofactocin']
WP_065143204.1,['Mycofactocin_RRE']
WP_065143205.1,['mycofact_rSAM']
WP_065143206.1,['actino_HemFlav']
WP_065143214.1,['mycofact_creat']
WP_065143207.1,['mycofact_glyco']
WP_065143208.1,['Rv0697']
WP_065143210.1,['efflux_EmrB']
WP_253861497.1,"['TetR_N', 'TetR_C_11']"
WP_253900589.1,['TetR_N']
WP_065159158.1,['efflux_EmrB']
WP_081287783.1,['PE']
WP_065159160.1,['Rv0697']
WP_065159161.1,['mycofact_glyco']
WP_065159162.1,['mycofact_creat']
WP_065159163.1,['actino_HemFlav']
WP_065159164.1,['mycofact_rSAM']
WP_081287784.1,['Mycofactocin_RRE']
WP_155763802.1,['mycofact_TetR']
WP_065159166.1,['Sig70_famx2']
WP_065159167.1,['Glyoxalase_6']
WP_065159168.1,"['Pyr_redox_2', 'Reductase_C']"
WP_065159169.1,['SDR_subfam_1']
WP_065159170.1,"['SHOCT', 'cytochro_ccmI']"
WP_218003836.1,['mycofact_creat']
WP_084361814.1,['actino_HemFlav']
WP_218003837.1,"['VWA_2', 'marine_srt_targ', 'VWA']"
WP_157079154.1,"['AAA_5', 'bpMoxR']"
WP_066043902.1,['SDR_subfam_1']
WP_066043905.1,['SDR_subfam_1']
WP_066043908.1,['SDR_subfam_1']
WP_066043912.1,['mycofact_rSAM']
WP_157079155.1,['Mycofactocin_RRE']
WP_084361815.1,['mycofactocin']
WP_066043915.1,['mycofact_TetR']
WP_066043918.1,['Rv0697']
WP_066043922.1,"['Methyltransf_11', 'Methyltransf_25']"
WP_066043926.1,['LssY_C']
WP_066043931.1,['TIGR00147']
WP_066043933.1,['NTP_transf_2']
WP_242424005.1,['mycofact_TetR']
WP_066065351.1,['mycofact_glyco']
WP_242424031.1,['SDR_subfam_2']
WP_066065354.1,['mycofact_creat']
WP_066065357.1,['actino_HemFlav']
WP_242424006.1,['mycofact_rSAM']
WP_066065362.1,['Mycofactocin_RRE']
WP_066065364.1,['mycofactocin']
WP_242424007.1,['CO_dehy_Mo_lg']
WP_066065370.1,"['FAD_binding_5', 'CO_deh_flav_C']"
WP_066065373.1,['pucE']
WP_066065376.1,['COXG']
WP_066065378.1,"['SnoaL_4', 'Lumazine_bd_2']"
WP_066065381.1,['ECH_1']
WP_066275063.1,"['Cob-chelat-sub', 'VWA_2']"
WP_082763986.1,['TIGR03843']
WP_066275065.1,['TIGR03847']
WP_066275067.1,['MSMEG_4193']
WP_239451893.1,['Rv0697']
WP_204249297.1,['Rv0697']
WP_239451894.1,['mycofact_TetR']
WP_066275070.1,['mycofactocin']
WP_066275072.1,['Mycofactocin_RRE']
WP_082763407.1,['mycofact_rSAM']
WP_066275073.1,['SDR_subfam_1']
WP_066275080.1,['SDR_subfam_1']
WP_066275084.1,['SDR_subfam_1']
WP_066275090.1,"['AAA_5', 'MCM']"
WP_204249298.1,"['VWA_2', 'marine_srt_targ']"
WP_082763408.1,['actino_HemFlav']
WP_066275095.1,['mycofact_creat']
WP_157084109.1,"['HTH_23', 'HTH_32', 'HTH_38']"
WP_066909606.1,['actino_HemFlav']
WP_066909609.1,['mycofact_rSAM']
WP_066909612.1,['Mycofactocin_RRE']
WP_157084110.1,['mycofactocin']
WP_245650226.1,['mycofact_TetR']
WP_066909618.1,['Methyltransf_11']
WP_066909624.1,"['GMC_mycofac_2', 'NAD_binding_8', 'DUF6082']"
WP_245650227.1,"['Peptidase_S9_N', 'Peptidase_S9']"
WP_066909627.1,['SAICAR_synt']
WP_084351980.1,['MPAB_Lcp_cat']
WP_044483827.1,['EF-Tu']
WP_197505276.1,['PE']
WP_067024825.1,"['SHOCT', 'HrpB_C']"
WP_066869322.1,['SDR_subfam_1']
WP_066869325.1,['Pyr_redox_2']
WP_067024828.1,['DUF2332']
WP_165827910.1,['mycofact_TetR']
WP_007773607.1,['mycofactocin']
WP_197505277.1,['Mycofactocin_RRE']
WP_067024833.1,['mycofact_rSAM']
WP_067024836.1,['actino_HemFlav']
WP_066869340.1,['mycofact_creat']
WP_156765690.1,['mycofact_glyco']
WP_067024842.1,['Rv0697']
WP_067024847.1,['efflux_EmrB']
WP_197497926.1,['TetR_N']
WP_067115891.1,['SDR_subfam_1']
WP_067115894.1,"['Pyr_redox_2', 'Reductase_C']"
WP_067115897.1,['PGDH']
WP_067115900.1,['Glyoxalase_6']
WP_067115903.1,['Sig70_famx2']
WP_067116272.1,['DUF2332']
WP_197501642.1,['mycofact_TetR']
WP_067115907.1,['mycofactocin']
WP_067115910.1,['Mycofactocin_RRE']
WP_067115912.1,['mycofact_rSAM']
WP_067115916.1,['actino_HemFlav']
WP_067115919.1,['mycofact_creat']
WP_067115923.1,['mycofact_glyco']
WP_156664780.1,['Rv0697']
WP_067217668.1,['COesterase']
WP_067217672.1,['CYP450_TxtE']
WP_067217677.1,"['TetR_N', 'TetR_C_11']"
WP_067217680.1,['Rv0697']
WP_067217684.1,['mycofact_glyco']
WP_067217687.1,['mycofact_creat']
WP_067217790.1,['actino_HemFlav']
WP_067217691.1,['mycofact_rSAM']
WP_067217786.1,['Mycofactocin_RRE']
WP_067217694.1,['mycofactocin']
WP_067217698.1,['mycofact_TetR']
WP_067217702.1,['Sig70_famx2']
WP_067217705.1,['Glyoxalase_6']
WP_067217709.1,['Pyr_redox_2']
WP_067217712.1,"['HTH_AsnC-type', 'AsnC_trans_reg']"
WP_067217716.1,['Orn_aminotrans']
WP_207514150.1,['SDR_subfam_1']
WP_156751418.1,['COesterase']
WP_067334810.1,['CYP450_TxtE']
WP_067334868.1,"['TetR_N', 'TetR_C_11']"
WP_067334813.1,['Rv0697']
WP_067334816.1,['mycofact_glyco']
WP_067334820.1,['mycofact_creat']
WP_067334823.1,['actino_HemFlav']
WP_067334827.1,['mycofact_rSAM']
WP_067334830.1,['Mycofactocin_RRE']
WP_067334874.1,['mycofactocin']
WP_067334871.1,['mycofact_TetR']
WP_067334834.1,['DUF2332']
WP_067334837.1,"['Pyr_redox_2', 'Reductase_C']"
WP_067334840.1,"['HTH_AsnC-type', 'HTH_24', 'HTH_Tnp_ISL3', 'Sigma70_r4']"
WP_197503106.1,"['DDAH_eukar', 'YqgC']"
WP_067334843.1,['Orn_aminotrans']
WP_082993116.1,['SDR_subfam_1']
WP_067421261.1,['mycofact_rSAM']
WP_066887409.1,['Mycofactocin_RRE']
WP_079046385.1,['mycofactocin']
WP_066887415.1,['NDMA_methanol']
WP_198532895.1,"['AAA_5', 'chaperone_ClpB', 'CbbQ_C', 'SelP_N']"
WP_066887421.1,['VWA_CoxE']
WP_066887424.1,['Methyltransf_11']
WP_066887427.1,"['Response_reg', 'GerE']"
WP_066887430.1,"['HisKA_3', 'HATPase_c']"
WP_232778404.1,['Fe-ADH']
WP_067441171.1,['mycofact_glyco']
WP_067441175.1,['mycofact_creat']
WP_067441178.1,['mycofact_rSAM']
WP_082749072.1,['Mycofactocin_RRE']
WP_082749073.1,['mycofactocin']
WP_067441181.1,['NDMA_methanol']
WP_082749074.1,"['AAA_5', 'TsaE']"
WP_067441187.1,['VWA_CoxE']
WP_067441190.1,['Methyltransf_11']
WP_067441193.1,['Gpr1_Fun34_YaaH']
WP_067441196.1,"['Response_reg', 'GerE']"
WP_067441200.1,['HisKA_3']
WP_067506350.1,['Pyr_redox_2']
WP_067506353.1,['SPW']
WP_067506356.1,"['TetR_N', 'mycofact_TetR']"
WP_067506455.1,['protocat_pcaD']
WP_067506359.1,['EF-G']
WP_067506362.1,['PA_CoA_Oxy5']
WP_084537440.1,['TetR_N']
WP_067506365.1,['mycofactocin']
