,domains
WP_240437667.1,"['TIGR03965', 'Glycos_transf_2', 'TIGR03937', 'Glyco_tranf_2_3', 'Glyco_trans_2_3', 'TIGR04283', 'TIGR04440', 'Glyco_tranf_2_2', 'TIGR04242', 'TIGR01556', 'TIGR03469', 'Glyco_transf_21', 'TIGR03111', 'TIGR04182']"
WP_020499241.1,['DUF1656']
WP_039826842.1,"['SGL', 'TIGR03606', 'SSL_N', 'DUF2255', 'DUF6211', 'Phytase-like']"
WP_157181842.1,['TIGR02303']
WP_245564154.1,"['SBP_bac_1', 'TAT_signal', 'SBP_bac_6', 'TIGR01409']"
WP_039826844.1,"['TIGR03262', 'BPD_transp_1', 'TIGR01581', 'TIGR02140', 'TIGR00969', 'TIGR02141', 'TIGR02139']"
WP_039826845.1,"['BPD_transp_1', 'TIGR01581', 'TIGR00969', 'TIGR02140', 'TIGR03226', 'TIGR02139', 'TIGR02141', 'TIGR03262']"
WP_039826846.1,"['AAA_16', 'DUF234', 'TIGR03903', 'AAA_14', 'AAA_22', 'ATPase_2', 'TIGR02928']"
WP_039826847.1,"['TIGR03970', 'TIGR01810', 'TIGR04542', 'GMC_oxred_N', 'GMC_oxred_C', 'FAD_binding_2', 'TIGR02462', 'NAD_binding_8', 'Pyr_redox_2', 'Lycopene_cycl', 'TIGR01790', 'DAO', 'TIGR02032', 'NAD_binding_9', 'TIGR02352', 'TIGR01988', 'TIGR03197', 'ApbA', 'TIGR02734', 'FAD_binding_3', 'HI0933_like', 'TIGR01789', 'Pyr_redox_3']"
WP_039826848.1,"['TIGR03965', 'Glycos_transf_2', 'Glyco_tranf_2_3', 'TIGR03937', 'TIGR04283', 'Glyco_transf_21', 'Glyco_tranf_2_2', 'Glyco_trans_2_3', 'TIGR01556', 'TIGR03030', 'TIGR03472', 'TIGR04242', 'TIGR04440', 'Anp1', 'Glyco_transf_49', 'TIGR04009']"
WP_083873011.1,"['TIGR03962', 'TIGR04545', 'TIGR04055', 'TIGR04053', 'TIGR04303', 'TIGR04347', 'TIGR04051', 'TIGR04054', 'TIGR04251', 'TIGR02109', 'TIGR04546', 'TIGR03913', 'Mycofactocin_RRE', 'TIGR03967', 'TIGR04133', 'TIGR04250', 'TIGR02668', 'TIGR04340', 'Radical_SAM', 'TIGR04103', 'TIGR02666', 'TIGR04082', 'TIGR04317', 'TIGR04167', 'TIGR04403', 'TIGR04466', 'TIGR03942', 'TIGR04311', 'TIGR03974', 'TIGR04321', 'TIGR03977', 'TIGR03961', 'TIGR04083', 'TIGR04085', 'TIGR04163', 'TIGR03470', 'TIGR04084', 'TIGR04064', 'TIGR04463', 'TIGR04080', 'TIGR02495', 'TIGR03906', 'TIGR04280', 'TIGR03978', 'TIGR04269', 'TIGR04304', 'TIGR04068', 'TIGR03972', 'SPASM', 'TIGR03963', 'Fer4_12', 'Fer4_14', 'TIGR04349', 'TIGR03365', 'NIR_SIR_ferr', 'TIGR04078', 'TIGR04478', 'TIGR04150', 'TIGR04148', 'TIGR01768', 'Isochorismatase', 'YflT', 'TIGR02493']"
WP_083873012.1,"['TIGR03969', 'MRP']"
WP_245564155.1,"['TetR_N', 'TetR_C_1', 'TIGR03384']"
WP_039826849.1,"['TIGR02160', 'TIGR02008', 'Fer2', 'TIGR01941', 'NAD_binding_1', 'FAD_binding_6', 'NAD_binding_6', 'TIGR01931', 'Fer2_3', 'Fer2_4', 'TIGR02911']"
WP_039826850.1,"['FAD_oxidored', 'TIGR02032', 'TIGR03997', 'TIGR03143', 'TIGR03467', 'TIGR01372', 'Pyr_redox_2', 'TIGR01421', 'TIGR01292', 'TIGR03140', 'FAD_binding_2', 'TIGR01350', 'TIGR02053', 'TIGR01813', 'GIDA', 'HI0933_like', 'DAO', 'NAD_binding_8', 'TIGR02023', 'TIGR00136', 'TIGR03378', 'TIGR00292', 'Thi4', 'Pyr_redox', 'TIGR02730', 'TIGR01438', 'TIGR04018', 'TIGR02028', 'TIGR00275', 'TIGR03364', 'TIGR01377', 'TIGR01816', 'FAD_binding_3', 'TIGR01424', 'Pyr_redox_3', 'TIGR00031', 'TIGR01790', 'Trp_halogenase', 'TIGR02733', 'TIGR02734']"
WP_218000821.1,"['MFS_1', 'TIGR00893', 'TIGR00881', 'TIGR00895', 'TIGR00890', 'TIGR02332', 'TIGR00894', 'TIGR04259', 'TIGR00880', 'TIGR00711', 'TIGR00886']"
WP_039826851.1,"['TIGR02424', 'HTH_1', 'TIGR03418', 'TIGR03339', 'LysR_substrate', 'TIGR03298', 'TIGR02036', 'HTH_30', 'MarR']"
WP_039826852.1,"['TIGR00067', 'Asp_Glu_race', 'TIGR00035']"
WP_039826853.1,"['Pyr_redox_2', 'TIGR02374', 'TIGR03385', 'TIGR01350', 'Pyr_redox', 'Reductase_C', 'TIGR01424', 'TIGR03452', 'TIGR01438', 'TIGR02053', 'TIGR03169', 'TIGR01421', 'TIGR01423', 'NAD_binding_8', 'TIGR03140', 'DAO', 'TIGR03197', 'TIGR03467', 'TIGR01292', 'TIGR04369', 'Lycopene_cycl', 'FAD_binding_2', 'TIGR01316', 'GIDA', 'TrkA_N', 'TIGR01988', 'TIGR04018', 'TIGR02352', 'TIGR02734', 'FAD_binding_3', 'Trp_halogenase', 'Pyr_redox_3', 'ApbA', 'TIGR01813', 'TIGR03315', 'TIGR00551', 'TIGR01984', 'TIGR02032', 'TIGR03143', 'NAD_binding_9', 'TIGR01812', 'TIGR01790']"
WP_043658326.1,"['DUF1254', 'DUF1214']"
WP_043658329.1,['MbtH']
WP_043658331.1,"['TIGR01733', 'AMP-binding', 'TIGR01734', 'TIGR03098', 'TIGR02275', 'TIGR03443', 'TIGR03208', 'TIGR03205', 'TIGR02262', 'TIGR01923', 'TIGR02188', 'TIGR02316', 'Condensation', 'TIGR01217']"
WP_245558190.1,"['TIGR01733', 'Condensation', 'AMP-binding', 'TIGR03443', 'TIGR01734', 'TIGR03098', 'TIGR01923', 'TIGR02262', 'TIGR02275', 'TIGR02188', 'TIGR03208', 'TIGR03205', 'PP-binding', 'TIGR02316', 'AMP-binding_C', 'TIGR01217', 'TIGR01720', 'Sdh5', 'DUF3572', 'RHH_1']"
WP_245558191.1,"['GAF', 'GAF_2', 'PaaX', 'Trans_reg_C']"
WP_245558192.1,"['TIGR03970', 'GMC_oxred_C', 'TIGR01810', 'TIGR04542', 'TIGR02462', 'GSK-3_bind']"
WP_043658336.1,"['TIGR03965', 'Glycos_transf_2', 'Glyco_tranf_2_3', 'TIGR03937', 'Glyco_tranf_2_2', 'Glyco_trans_2_3', 'Glyco_transf_21', 'TIGR04283', 'TIGR03030', 'TIGR01556', 'TIGR03472', 'TIGR04440', 'Glyco_transf_49']"
WP_085999695.1,"['TIGR03962', 'TIGR04545', 'TIGR04055', 'TIGR04303', 'TIGR04053', 'TIGR04054', 'TIGR04051', 'TIGR04347', 'TIGR04546', 'TIGR02109', 'TIGR03913', 'TIGR04251', 'TIGR04133', 'TIGR04340', 'TIGR04250', 'Radical_SAM', 'TIGR02668', 'TIGR02666', 'Mycofactocin_RRE', 'TIGR03967', 'TIGR04103', 'TIGR04167', 'TIGR04082', 'TIGR04317', 'TIGR03942', 'TIGR04403', 'TIGR04466', 'TIGR04085', 'TIGR03470', 'TIGR04311', 'TIGR04163', 'TIGR03974', 'TIGR03977', 'TIGR04064', 'TIGR03961', 'TIGR04084', 'TIGR04080', 'TIGR04321', 'TIGR04083', 'TIGR04463', 'TIGR04280', 'TIGR02495', 'TIGR03906', 'TIGR04269', 'TIGR03978', 'TIGR04304', 'Fer4_12', 'SPASM', 'TIGR03963', 'TIGR04068', 'TIGR04115', 'TIGR04334', 'Fer4_14', 'TIGR04078', 'TIGR03365', 'TIGR03972', 'TIGR04261', 'TIGR04150', 'TIGR04148', 'TIGR04478', 'TIGR04349', 'NIR_SIR_ferr', 'TIGR02493', 'TIGR04041', 'YflT', 'TIGR04136']"
WP_083885384.1,['TIGR03969']
WP_052314321.1,"['TetR_C_1', 'TetR_N', 'TIGR03384', 'TIGR02396']"
WP_043658339.1,"['TIGR02160', 'TIGR02008', 'Fer2', 'NAD_binding_1', 'TIGR01941', 'FAD_binding_6', 'NAD_binding_6', 'Fer2_3']"
WP_043658450.1,"['DNA_alkylation', 'HEAT_2']"
WP_043658452.1,"['TIGR00067', 'Asp_Glu_race', 'TIGR00035']"
WP_043658342.1,"['Pyr_redox_2', 'Pyr_redox', 'TIGR01350', 'TIGR02053', 'TIGR03452', 'TIGR01424', 'Reductase_C', 'TIGR01423', 'TIGR03169', 'TIGR01421', 'TIGR03140', 'TIGR03197', 'TIGR01438', 'FAD_binding_2', 'DAO', 'TIGR03467', 'NAD_binding_8', 'TIGR01988', 'TIGR02734', 'GIDA', 'Lycopene_cycl', 'TIGR01292', 'Pyr_redox_3', 'FAD_binding_3', 'TIGR02352', 'TIGR02032', 'TIGR01984', 'TIGR04542', 'TrkA_N', 'TIGR01316', 'TIGR03364', 'ApbA', 'TIGR04369', 'NAD_binding_7', '3HCDH_N', 'TIGR01790', 'NAD_binding_9', 'HI0933_like', 'TIGR01813', 'TIGR03026', 'TIGR04018', 'TIGR01318', 'TIGR01812', 'Epimerase', 'TIGR00136', 'TIGR04046', 'Trp_halogenase', 'TIGR02023', 'ThiF', 'TIGR02733', 'TIGR00551', 'TIGR00275', 'AlaDh_PNT_C', 'TIGR03997']"
WP_043658344.1,"['SPW', 'DUF5336', 'DUF2754', 'DUF805', 'DUF6232']"
WP_043658347.1,"['TetR_N', 'TIGR03968', 'TIGR03613', 'TIGR03384', 'TetR_C_31', 'DUF1488', 'TetR_C_6']"
WP_020518105.1,"['TIGR03968', 'TetR_C_14', 'TetR_N', 'TIGR03613', 'TIGR03384', 'TIGR02366', 'HTH_Tnp_1_2']"
WP_020518106.1,"['TIGR03966', 'TIGR02708', 'TIGR02151', 'IMPDH', 'TIGR01302', 'Glu_synthase', 'NMO', 'TIGR01304', 'ThiG', 'His_biosynth', 'TIGR03151', 'TIGR01303', 'TIGR01305', 'TIGR00007', 'DHO_dh', 'G3P_antiterm', 'Dus', 'TIGR01306', 'TIGR00419', 'TIGR01037', 'PA']"
WP_020518107.1,"['TIGR03971', 'adh_short', 'TIGR04504', 'TIGR02415', 'TIGR01830', 'TIGR01963', 'TIGR04316', 'TIGR01829', 'TIGR01832', 'TIGR02632', 'TIGR01831', 'TIGR03325', 'TIGR03206', 'TIGR02685', 'KR', 'Epimerase', 'TIGR01500']"
WP_245577679.1,"['TIGR03968', 'TetR_C_14', 'TetR_N', 'TIGR03613', 'TIGR02366', 'TIGR03384', 'HTH_7', 'HTH_29', 'HTH_Tnp_1_2']"
WP_020518109.1,"['TIGR03965', 'Glycos_transf_2', 'Glyco_tranf_2_3', 'TIGR03937', 'Glyco_trans_2_3', 'TIGR04242', 'TIGR04283', 'Glyco_tranf_2_2', 'Glyco_transf_21', 'TIGR04440', 'TIGR01556', 'TIGR02994', 'ThrE', 'TIGR04182', 'TIGR03111']"
WP_020518110.1,"['TIGR03964', 'TIGR04448']"
WP_020518111.1,"['TIGR03966', 'TIGR02708', 'TIGR02151', 'NMO', 'TIGR01302', 'IMPDH', 'Glu_synthase', 'TIGR01304', 'TIGR03151', 'His_biosynth', 'TIGR01306', 'TIGR01305', 'TIGR01303', 'Dus', 'TIGR00007', 'ThiG', 'DHO_dh']"
WP_020518112.1,"['TIGR03962', 'TIGR04545', 'TIGR04055', 'TIGR04053', 'TIGR04303', 'TIGR04347', 'TIGR04054', 'TIGR04051', 'TIGR04546', 'TIGR03913', 'TIGR04251', 'TIGR02109', 'TIGR04133', 'TIGR04103', 'TIGR04250', 'TIGR04340', 'Radical_SAM', 'TIGR04317', 'TIGR02668', 'TIGR04082', 'TIGR04403', 'TIGR02666', 'TIGR03942', 'TIGR04167', 'TIGR04083', 'TIGR04466', 'TIGR04085', 'TIGR04084', 'TIGR03974', 'TIGR04064', 'TIGR04163', 'TIGR03961', 'TIGR03977', 'TIGR04311', 'TIGR03470', 'TIGR04463', 'TIGR04321', 'TIGR04280', 'TIGR04080', 'TIGR04269', 'TIGR02495', 'TIGR03906', 'TIGR04068', 'TIGR04115', 'TIGR04304', 'TIGR03963', 'SPASM', 'TIGR03978', 'TIGR04261', 'TIGR03972', 'Fer4_12', 'Fer4_14', 'TIGR04478', 'TIGR03365', 'TIGR04150', 'TIGR04349', 'TIGR04148', 'NIR_SIR_ferr', 'TIGR04041', 'TIGR04078', 'TIGR02493', 'TIGR04426', 'TIGR01768']"
WP_020518113.1,"['Mycofactocin_RRE', 'TIGR03967']"
WP_020518114.1,['TIGR03969']
WP_020518115.1,"['TIGR03970', 'TIGR01810', 'TIGR04542', 'GMC_oxred_N', 'GMC_oxred_C', 'DAO', 'NAD_binding_8', 'Lycopene_cycl', 'FAD_binding_2', 'TIGR00551', 'TIGR01988', 'TIGR02032', 'HI0933_like', 'GIDA', 'TIGR01790', 'Pyr_redox_2', 'Pyr_redox_3', 'TIGR00275', 'Thi4', 'TIGR00136', 'TIGR01373', 'TIGR01984', 'ApbA', 'TIGR03197', 'FAD_oxidored', 'TIGR01789', 'TIGR01989', 'TIGR00745', 'TIGR01813']"
WP_020518117.1,"['Transgly_assoc', 'TIGR00950', 'TIGR00912', 'DUF4203', 'TctB', 'DUF3180', 'DUF2929']"
WP_084699531.1,"['TIGR00377', 'STAS_2', 'STAS', 'TIGR02886', 'DUF3265']"
WP_020518119.1,['DoxX']
WP_020518120.1,"['Nitroreductase', 'TM1586_NiRdase']"
WP_020518121.1,"['Ricin_B_lectin', 'RicinB_lectin_2', 'Cellulase']"
WP_040718651.1,"['TIGR04266', 'TIGR02638', 'TIGR03405', 'Fe-ADH_2']"
WP_040718652.1,"['AAA_5', 'TIGR02640', 'AAA', 'AAA_16', 'AAA_3', 'TIGR02639', 'TIGR00763', 'Sigma54_activ_2', 'AAA_22', 'Sigma54_activat', 'NACHT', 'TIGR00635', 'TIGR00678', 'AAA_6', 'TIGR03346', 'AAA_14', 'AAA_30', 'AAA_2', 'RuvB_N', 'AAA_18', 'IstB_IS21', 'TIGR01242', 'CbbQ_C', 'TIGR02903', 'RNA_helicase', 'AAA_24', 'TIGR03345', 'AAA_7', 'TIGR00390', 'TIGR01241']"
WP_040718653.1,"['VWA_CoxE', 'CLIP_SPH_mas']"
WP_040718654.1,"['Methyltransf_25', 'Methyltransf_11', 'TIGR00477', 'TehB', 'Med12-LCEWAV', 'TIGR00537', 'TIGR02021']"
WP_210742622.1,"['TIGR03965', 'Glycos_transf_2', 'Glyco_trans_2_3', 'Glyco_tranf_2_3', 'TIGR04283', 'Glyco_tranf_2_2', 'TIGR03937', 'Glyco_transf_21', 'TIGR01556', 'TIGR04242']"
WP_040718656.1,"['TIGR04504', 'TIGR02685', 'KR', 'Epimerase', 'TIGR01289']"
WP_040718657.1,"['TIGR03966', 'TIGR02708', 'TIGR02151', 'IMPDH', 'TIGR01302', 'NMO', 'TIGR01304', 'Glu_synthase', 'TIGR03151', 'ThiG', 'His_biosynth', 'TIGR01306', 'G3P_antiterm', 'TIGR01303', 'TIGR01037', 'TIGR01305', 'TIGR01919', 'DHO_dh', 'IGPS']"
WP_040718658.1,"['TIGR03962', 'TIGR04545', 'TIGR04055', 'TIGR04303', 'TIGR04053', 'TIGR04347', 'TIGR04051', 'TIGR03913', 'TIGR02109', 'TIGR04054', 'TIGR04251', 'TIGR04133', 'TIGR04546', 'TIGR04250', 'TIGR04103', 'Radical_SAM', 'TIGR02668', 'TIGR04317', 'TIGR02666', 'TIGR04082', 'TIGR04340', 'TIGR04403', 'TIGR04167', 'TIGR03942', 'TIGR03961', 'TIGR04083', 'TIGR03974', 'TIGR04085', 'TIGR03470', 'TIGR04463', 'TIGR04311', 'TIGR04466', 'TIGR04064', 'TIGR04163', 'TIGR04084', 'TIGR04280', 'TIGR03977', 'TIGR02495', 'TIGR04321', 'TIGR03906', 'TIGR04269', 'TIGR04080', 'TIGR04478', 'TIGR04304', 'TIGR03963', 'SPASM', 'TIGR04068', 'TIGR03978', 'TIGR04349', 'TIGR04115', 'Fer4_12', 'TIGR03365', 'TIGR02493', 'TIGR04136', 'TIGR04078', 'TIGR04041', 'Fer4_14', 'TIGR04508', 'TIGR04426', 'TIGR01768', 'TIGR04148']"
WP_040718660.1,"['Mycofactocin_RRE', 'TIGR03967']"
WP_245553139.1,['TIGR03969']
WP_051031420.1,['Fe-ADH']
WP_040718661.1,"['HisKA_3', 'HATPase_c_2', 'HATPase_c', 'GAF_2', 'DUF2604', 'DUF3243', 'TIGR02698', 'FAD-SLDH']"
WP_040718662.1,"['Response_reg', 'GerE', 'TIGR02875', 'TIGR03020', 'TIGR02154', 'TIGR03787', 'TIGR01818', 'TIGR03541', 'TIGR02915', 'TIGR01387', 'Sigma70_r4_2', 'TIGR02937', 'TIGR02956', 'TIGR02985', 'Sigma70_r4', 'TIGR01884', 'HTH_10', 'HTH_38', 'TIGR02941', 'HTH_24', 'Trans_reg_C', 'cREC_REC']"
WP_040718663.1,"['TIGR03964', 'TIGR04448']"
WP_040718664.1,"['Cupin_6', 'HTH_18', 'HTH_AraC', 'TIGR04094', 'TIGR02297', 'TetR_N', 'HTH_31']"
WP_040718666.1,"['Flavodoxin_2', 'FMN_red', 'TIGR03567', 'TIGR03566', 'TIGR04037', 'Crp']"
WP_040718667.1,"['DUF664', 'DinB_2']"
WP_232020047.1,"['Cutinase', 'PE-PPE', 'DUF3089', 'Abhydrolase_6', 'TIGR02811']"
WP_026213525.1,"['TIGR03971', 'TIGR01963', 'TIGR01830', 'TIGR02415', 'TIGR04316', 'TIGR01832', 'TIGR01829', 'TIGR02632', 'TIGR01831', 'TIGR03325', 'TIGR03206', 'KR', 'TIGR02685', 'TIGR01500', 'Epimerase', 'DUF1776']"
WP_018354898.1,"['Pyr_redox_2', 'TIGR02053', 'TIGR03452', 'TIGR01424', 'Pyr_redox', 'TIGR03169', 'TIGR01421', 'Reductase_C', 'TIGR01292', 'TIGR01423', 'TIGR01438', 'TIGR03140', 'TIGR04369', 'TIGR03197', 'Lycopene_cycl', 'DAO', 'NAD_binding_9', 'NAD_binding_8', 'Lys_Orn_oxgnase', 'Pyr_redox_3', 'TIGR01316', 'NAD_binding_7', 'GIDA', 'TIGR01984', 'TIGR03467', 'TrkA_N', 'TIGR02032', '2-Hacid_dh_C', 'TIGR01318', 'TIGR01988', 'TIGR03315', 'TIGR01790', 'TIGR03364', 'TIGR02352', 'TIGR03143', 'TIGR02734', 'TIGR04018', 'Amino_oxidase', 'TIGR01372', 'ThiF', 'Trp_halogenase', 'Shikimate_DH', 'TIGR03026', 'AlaDh_PNT_C', '3HCDH_N', 'ApbA', 'FAD_binding_3', 'TIGR00137', 'HCBP_related', 'UDPG_MGDP_dh_N', 'TIGR00936', 'AdoHcyase_NAD', 'TIGR02964', 'TIGR00136', 'TIGR02023', 'TIGR03997', 'TIGR01813', 'FAD_binding_2', 'HcgC', 'Sacchrp_dh_NADP', 'TPP_enzyme_M', 'UPF0146', 'TIGR00562', 'TIGR00275', 'FAD_oxidored', 'HI0933_like']"
WP_018354899.1,"['Glyoxalase_6', 'Glyoxalase', 'Glyoxalase_4', 'TIGR00068', 'TIGR03081', 'TIGR03645', 'TIGR03213']"
WP_005625394.1,"['TIGR02937', 'TIGR02989', 'TIGR02952', 'TIGR02983', 'TIGR02950', 'Sigma70_r2', 'TIGR02985', 'TIGR02984', 'Sigma70_r4_2', 'TIGR02959', 'TIGR02960', 'TIGR02948', 'TIGR02943', 'TIGR02939', 'TIGR02957', 'Sigma70_r4', 'TIGR02947', 'Sigma70_ECF', 'TIGR02999', 'TIGR02980', 'TIGR02954', 'TIGR02479', 'TIGR02941']"
WP_005625395.1,"['Malic_M', 'malic', 'Acetyltransf_6', 'DUF6315']"
WP_005625396.1,"['TIGR03968', 'TetR_C_14', 'TetR_N', 'TIGR03613', 'HTH_Tnp_1_2', 'HTH_23', 'TIGR03384', 'TIGR02366', 'HTH_7']"
WP_018354900.1,['TIGR03969']
WP_005625398.1,"['Mycofactocin_RRE', 'TIGR03967']"
WP_026213528.1,"['TIGR03962', 'TIGR04545', 'TIGR04303', 'TIGR04055', 'TIGR04053', 'TIGR04347', 'TIGR04051', 'TIGR04054', 'TIGR02109', 'TIGR04546', 'TIGR04251', 'TIGR04133', 'TIGR04250', 'TIGR03913', 'TIGR04340', 'Radical_SAM', 'TIGR04103', 'TIGR04082', 'TIGR02668', 'TIGR04403', 'TIGR04317', 'TIGR02666', 'TIGR04167', 'TIGR03974', 'TIGR03942', 'TIGR04163', 'TIGR04466', 'TIGR03961', 'TIGR03977', 'TIGR03470', 'TIGR04311', 'TIGR04083', 'TIGR04085', 'TIGR04084', 'TIGR04321', 'TIGR04463', 'TIGR04064', 'TIGR04280', 'TIGR04080', 'TIGR04304', 'TIGR03906', 'TIGR02495', 'TIGR03978', 'TIGR04068', 'SPASM', 'TIGR03963', 'TIGR04334', 'TIGR04269', 'Fer4_12', 'Fer4_14', 'TIGR04349', 'TIGR03365', 'TIGR04261', 'TIGR03972', 'TIGR04478', 'TIGR02493', 'NIR_SIR_ferr', 'TIGR04041', 'TIGR04148', 'TIGR04150', 'TIGR04426', 'TIGR02494']"
WP_005625402.1,"['TIGR03966', 'TIGR02708', 'TIGR02151', 'IMPDH', 'TIGR01302', 'Glu_synthase', 'TIGR01304', 'His_biosynth', 'NMO', 'TIGR03151', 'TIGR01303', 'Dus', 'ThiG', 'TIGR01919', 'TIGR00007', 'TIGR01306', 'TIGR01305', 'G3P_antiterm', 'TIGR01037', 'TIGR00419', 'DHO_dh', 'PA']"
WP_018354901.1,"['TIGR03964', 'TIGR04448']"
WP_018354902.1,"['TIGR03965', 'Glycos_transf_2', 'Glyco_tranf_2_2', 'Glyco_tranf_2_3', 'Glyco_transf_21', 'TIGR03937', 'Glyco_trans_2_3', 'TIGR04283', 'TIGR01556', 'TIGR04242', 'TIGR04182', 'TIGR03030', 'Glyco_transf_49', 'RhodobacterPufX']"
WP_018354903.1,"['TIGR03970', 'TIGR01810', 'GMC_oxred_N', 'GMC_oxred_C', 'TIGR02462', 'DAO', 'Pyr_redox_2', 'NAD_binding_8', 'Lycopene_cycl', 'FAD_binding_2', 'TIGR02032', 'HI0933_like', 'NAD_binding_9', 'TIGR02356', 'TIGR01988', 'TIGR00551', 'Pyr_redox', 'TIGR01350', 'TIGR01372', 'TIGR03467', 'TrkA_N', 'ApbA', 'Thi4', 'TIGR01984', 'ThiF', 'TIGR02053', 'FAD_binding_3', 'TIGR01790', 'Sacchrp_dh_NADP', 'TIGR00292', 'Trp_halogenase']"
WP_005625406.1,"['TIGR00711', 'MFS_1', 'TIGR00880', 'TIGR00710', 'TIGR00900', 'TIGR00894', 'TIGR00895', 'TIGR00893', 'TIGR00891', 'TIGR00881', 'Sugar_tr', 'OATP', 'TIGR00805', 'TIGR00898', 'TIGR01299', 'SepZ']"
WP_005625407.1,"['TetR_N', 'TIGR03968', 'TIGR03384', 'TetR_C_20', 'TIGR03613', 'TetR_C_11', 'HTH_7', 'TIGR02366']"
WP_005625408.1,"['TIGR04538', 'p450']"
WP_020378748.1,"['ELFV_dehydrog', 'ELFV_dehydrog_N', '2-Hacid_dh_C', 'AdoHcyase_NAD', 'TIGR02354', 'ThiF', 'NAD_binding_7']"
WP_020378749.1,['RPE65']
WP_020378750.1,"['TIGR02946', 'WES_acyltransf', 'WS_DGAT_C']"
WP_020378751.1,"['BD-FAE', 'Abhydrolase_3', 'Peptidase_S9', 'COesterase', 'Hydrolase_4', 'Abhydrolase_4', 'Chlorophyllase2', 'DLH']"
WP_051012007.1,"['VWA_CoxE', 'VWA_2', 'VWA']"
WP_012226369.1,"['AAA_5', 'TIGR02640', 'TIGR02031', 'TIGR02442', 'AAA_3', 'bpMoxR', 'Mg_chelatase', 'AAA', 'TIGR00635', 'RuvB_N', 'AAA_16', 'TIGR03922', 'TIGR00764', 'TIGR02030', 'AAA_22', 'Sigma54_activat', 'TIGR00368', 'TIGR01241', 'AAA_30', 'MCM', 'TIGR01243', 'AAA_18', 'AAA_33', 'AAA_29', 'TIGR02928', 'NACHT', 'TIGR01242', 'TIGR01189', 'TIGR02639', 'AAA_28', 'TIGR02903', 'DUF815', 'TIGR01650', 'TIGR01448', 'Rad17', 'ABC_tran', 'TIGR03420', 'TsaE', 'AAA_11', 'TIGR02902', 'RsgA_GTPase', 'TIGR00602', 'NTPase_1', 'AAA_17', 'TIGR04352', 'Viral_helicase1', 'TIGR02881', 'TIP49', 'AAA_7', 'AAA_lid_2', 'TIGR00956']"
WP_012226367.1,"['TIGR03989', 'ADH_N', 'TIGR03201', 'ADH_zinc_N', 'TIGR02819', 'TIGR02824', 'TIGR02822', 'TIGR01751', 'TIGR01202', 'TIGR02817', 'AlaDh_PNT_C', 'ADH_zinc_N_2', 'TIGR02356', 'ThiF', 'NAD_binding_7', 'TIGR02825', 'TrkA_N', 'TIGR02355', '2-Hacid_dh_C', 'Glyco_hydro_42M', 'AdoHcyase_NAD']"
WP_012226365.1,['TIGR03969']
WP_202948845.1,"['Mycofactocin_RRE', 'TIGR03967']"
WP_012226361.1,"['TIGR03962', 'TIGR04545', 'TIGR04303', 'TIGR04055', 'TIGR04053', 'TIGR04051', 'TIGR04347', 'TIGR04054', 'TIGR02109', 'TIGR03913', 'TIGR04133', 'TIGR04250', 'TIGR04251', 'TIGR04546', 'TIGR04103', 'TIGR02668', 'TIGR02666', 'TIGR04403', 'TIGR04082', 'TIGR04317', 'Radical_SAM', 'TIGR03961', 'TIGR03942', 'TIGR04340', 'TIGR03974', 'TIGR04163', 'TIGR04085', 'TIGR04311', 'TIGR04064', 'TIGR04466', 'TIGR04167', 'TIGR03470', 'TIGR04321', 'TIGR04083', 'TIGR04084', 'TIGR04280', 'TIGR03977', 'TIGR03906', 'TIGR04463', 'TIGR02495', 'TIGR04304', 'TIGR03963', 'TIGR04334', 'TIGR04080', 'TIGR04269', 'SPASM', 'TIGR03978', 'TIGR04278', 'TIGR04068', 'Fer4_12', 'TIGR04115', 'TIGR03365', 'Fer4_14', 'TIGR04478', 'Glyco_tranf_2_3', 'TIGR04148', 'TIGR04078', 'DUF5403', 'NIR_SIR_ferr', 'TIGR04136']"
WP_020378754.1,"['TIGR03996', 'Pyr_redox', 'Pyr_redox_2', 'TIGR03315', 'HI0933_like', 'TIGR01316', 'TIGR01372', 'NAD_binding_8', 'TIGR00275', 'TIGR03364', 'FAD_binding_3', 'GIDA', 'DAO', 'TIGR01317', 'AlaDh_PNT_C', 'TIGR03467', 'TIGR01424', 'TIGR02053', 'TIGR02032', '3HCDH_N', 'Pyr_redox_3', 'TIGR00518', 'TIGR00737', 'XdhC_C', 'TIGR00292', 'TIGR02733', 'Thi4', 'TIGR03140', 'TIGR01350', 'TIGR02734', 'TIGR01292', 'TIGR00136', 'TIGR02731', 'TIGR03197']"
